month,turnoverRatio
1,1.5018181818181817
2,0.9934999999999998
3,1.1561904761904762
4,1.1652173913043478
5,0.5619047619047619
6,0.37
7,0.30529411764705877
8,0.39571428571428563
9,0.27869565217391307
10,0.22000000000000003
11,0.17750000000000005
12,0.25652173913043474
13,0.16349999999999995
14,0.110952380952381
15,0.11300000000000003
16,0.15428571428571428
17,0.1539130434782609
18,0.10100000000000005
19,0.161875
20,0.2822727272727273
21,0.26500000000000007
22,0.15777777777777777
23,0.17611111111111108
24,0.17043478260869566
25,0.18666666666666665
26,0.1615
27,0.16090909090909095
28,0.2095238095238095
29,0.20478260869565212
30,0.18238095238095237
31,0.18294117647058822
32,0.29000000000000004
33,0.17904761904761907
34,0.4190909090909091
35,0.3726666666666667
36,0.22363636363636366
37,0.18666666666666668
38,0.14954545454545454
39,0.15549999999999997
40,0.15545454545454548
41,0.14130434782608697
42,0.13947368421052633
43,0.18444444444444447
44,0.15409090909090908
45,0.13549999999999998
46,0.13727272727272727
47,0.274
48,0.3323809523809524
49,0.31523809523809526
50,0.1885
51,0.1894736842105263
52,0.1565217391304348
53,0.1677272727272727
54,0.188
55,0.1588888888888889
56,0.1604761904761905
57,0.17409090909090913
58,0.22000000000000003
59,0.2875
60,0.2718181818181819
61,0.16476190476190475
62,0.14444444444444446
63,0.18400000000000002
64,0.43217391304347824
65,0.29190476190476194
66,0.18000000000000002
67,0.20375000000000004
68,0.2561904761904762
69,0.22304347826086957
70,0.3340000000000001
71,0.31266666666666665
72,0.2469565217391305
73,0.18000000000000002
74,0.22111111111111112
75,0.2414285714285715
76,0.27045454545454545
77,0.29590909090909095
78,0.36750000000000005
79,0.24687500000000007
80,0.20863636363636368
81,0.2230434782608696
82,0.26210526315789484
83,0.27125
84,0.2834782608695652
85,0.27894736842105267
86,0.23473684210526316
87,0.38761904761904764
88,0.29380952380952385
89,0.22739130434782612
90,0.22095238095238098
91,0.245
92,0.29863636363636364
93,0.22590909090909095
