month,spread
1,0.49667619047619044
2,1.0134750000000001
3,1.7406714285714284
4,1.3228173913043477
5,1.241204761904762
6,1.0354190476190477
7,0.7493000000000001
8,0.6476380952380951
9,0.5346913043478261
10,0.5357049999999999
11,0.6085777777777778
12,0.7809260869565218
13,0.779625
14,0.6965857142857143
15,0.6966523809523809
16,0.5913571428571428
17,0.6320304347826087
18,0.6696380952380953
19,0.6226277777777779
20,0.6958545454545454
21,0.49370454545454545
22,0.5808052631578947
23,0.7010631578947368
24,0.5600086956521738
25,0.4122105263157895
26,0.34136666666666665
27,0.0647954545454545
28,0.24445238095238103
29,0.3587826086956522
30,0.25273636363636365
31,0.3224882352941177
32,0.3139181818181818
33,0.00018571428571427582
34,0.37673181818181817
35,0.5443529411764705
36,0.5813318181818182
37,0.6826650000000001
38,0.7699818181818181
39,0.520375
40,0.6606863636363637
41,1.0331391304347826
42,1.0565952380952381
43,1.12885
44,0.8798181818181819
45,0.7703047619047619
46,0.7339636363636363
47,0.8655999999999999
48,0.9219047619047619
49,1.0256363636363637
50,0.8771571428571429
51,0.7636631578947368
52,0.875304347826087
53,0.6061318181818183
54,0.5865380952380952
55,0.7007526315789473
56,0.6280238095238095
57,0.6973636363636365
58,0.9466941176470589
59,1.04629
60,0.9285363636363637
61,1.41255
62,1.4783263157894737
63,0.9093190476190475
64,0.8997217391304347
65,0.6794142857142857
66,0.5436347826086956
67,0.5087352941176471
68,0.40109523809523817
69,0.541804347826087
70,0.9324850000000001
71,0.8704941176470588
72,0.9212652173913043
73,1.0198045454545455
74,1.0354473684210526
75,0.9437095238095239
76,0.9605318181818181
77,0.8749727272727273
78,0.6523863636363636
79,0.7149000000000001
80,0.6055318181818182
81,0.5036956521739131
82,0.7247238095238095
83,0.89663125
84,0.773091304347826
85,0.8358666666666666
86,0.9758749999999999
87,0.9997714285714286
88,1.1078904761904762
89,1.0613217391304348
90,0.9573666666666667
91,0.9988499999999999
92,0.8346409090909092
93,0.7021681818181817
