quarter,short_balance_ratio
1,0.005184870669748467
2,0.0037559082994264104
3,0.0034542449212936603
4,0.004423231353262679
5,0.004796359943083971
6,0.0073125670091862245
7,0.007968590656844448
8,0.009233362071075897
9,0.011280315888629879
10,0.009327716988251184
11,0.010833746141823452
12,0.010926707359405112
13,0.014902785533027842
14,0.025101396788933136
15,0.026625251448952794
16,0.016399674366418107
17,0.015070019093605815
18,0.025602265939404855
19,0.031173004934220646
20,0.01691808855768309
21,0.037252184772418546
22,0.0669711297754815
23,0.14135663289018527
24,0.15535610762003638
25,0.17566013905178698
26,0.12601259218158256
27,0.12555184594853286
28,0.0989764634963411
29,0.08891477095720322
30,0.11544706887906445
31,0.12257252427188071
