quarter,spread
1,1.0847387096774193
2,1.2035984615384616
3,0.6352532258064516
4,0.6496688524590164
5,0.7233951612903226
6,0.63104
7,0.6028645161290322
8,0.6104213114754098
9,0.26493870967741934
10,0.28705606060606065
11,0.20654
12,0.4972360655737705
13,0.6612967741935484
14,0.9164515151515151
15,0.9156016393442623
16,0.83704
17,0.8950629032258065
18,0.6937
19,0.6749161290322581
20,0.9736847457627119
21,1.262258064516129
22,0.708431343283582
23,0.4841475409836066
24,0.91062
25,0.9988241935483871
26,0.8292969696969696
27,0.597741935483871
28,0.7891066666666667
29,0.9365467741935484
30,1.0427815384615384
31,0.835308064516129
