index_level,diff,is_rising,pli
3235.33,52.029999999999745,1,1.0
3223.96,-49.440000000000055,0,0.4
3250.49,-32.79000000000042,0,0.5
3110.46,15.579999999999927,1,0.4
3060.41,-68.16000000000031,0,0.4
3248.86,97.96000000000004,1,0.8
3111.33,-13.289999999999964,0,0.4
3303.99,4.959999999999582,1,0.8
3350.25,3.130000000000109,1,0.4
2903.06,-165.42999999999984,0,0.2
2736.7,-207.28999999999996,0,0.5
2582.27,-131.98000000000002,0,0.2
2898.41,117.32999999999993,1,0.8
2807.07,64.22000000000025,1,0.2
2741.04,-49.720000000000255,0,0.2
2461.24,-6.130000000000109,0,0.2
2503.8,36.26999999999998,1,0.6
2577.04,-3.7400000000002365,0,0.4
2271.36,-85.55999999999995,0,0.2
2159.96,65.24000000000024,1,0.6
2243.63,13.309999999999945,1,1.0
2195.39,-13.090000000000146,0,0.4
2198.99,4.169999999999618,1,0.6
2183.4,-4.690000000000055,0,0.6
2146.12,18.920000000000073,1,0.3333333333333333
2219.29,27.949999999999818,1,1.0
2323.78,25.88000000000011,1,0.6
2343.97,12.179999999999836,1,0.6
2312.97,5.619999999999891,1,0.4
2493.48,52.82999999999993,1,0.6
2447.77,-28.659999999999854,0,0.2
2466.76,-1.7299999999995634,0,0.4
2334.44,-116.51999999999998,0,0.2
2397.56,-63.88999999999987,0,0.8
2342.45,-14.760000000000218,0,0.2
2422.84,14.519999999999982,1,0.6
2492.34,10.590000000000146,1,0.6
2420.8,-11.9699999999998,0,0.25
2219.61,39.01999999999998,1,0.6
2070.93,-61.15000000000009,0,0.4
2061.96,20.980000000000018,1,0.4
1973.01,60.289999999999964,1,0.6
1967.26,-6.980000000000018,0,0.4
2004.11,-5.160000000000082,0,0.4
1955.4,22.800000000000182,1,0.6
2122.27,69.0,1,0.8
2070.72,9.269999999999982,1,0.4
2141.18,9.699999999999818,1,0.8
2149.2,11.609999999999673,1,0.6
2167.78,11.240000000000236,1,0.4
2123.8,-15.599999999999909,0,0.25
2182.07,3.200000000000273,1,0.8
2157.72,10.0,1,0.4
2135.51,-6.549999999999727,0,0.2
2107.01,-45.86999999999989,0,0.25
2076.19,-8.650000000000091,0,0.4
2083.12,9.319999999999709,1,0.6
2074.92,-1.2199999999998,0,0.4
2152.64,14.989999999999782,1,0.6
2132.96,-6.110000000000127,0,0.3333333333333333
2102.2,7.379999999999654,1,0.6
2076.3,-29.230000000000018,0,0.6
2127.09,4.460000000000036,1,0.8
2148.76,-18.11999999999989,0,0.4
2192.39,-2.8400000000001455,0,0.4
2157.23,-20.550000000000182,0,0.2
2155.24,-8.570000000000164,0,0.4
2148.68,4.839999999999691,1,0.4
2222.49,45.429999999999836,1,0.8
2249.34,4.620000000000346,1,0.4
2219.31,-2.8400000000001455,0,0.2
2229.89,9.489999999999782,1,0.6
2229.31,-7.320000000000164,0,0.6
2176.52,-16.670000000000073,0,0.0
2196.29,-4.4099999999998545,0,0.6
2177.35,1.9800000000000182,1,0.6
2209.82,7.700000000000273,1,0.8
2240.75,17.329999999999927,1,0.6
2253.8,3.5399999999999636,1,0.4
2271.93,-1.7000000000002728,0,0.4
2308.43,18.980000000000018,1,0.8
2307.27,-9.449999999999818,0,0.4
2393.95,25.2199999999998,1,1.0
2416.51,-14.799999999999727,0,0.6
2411.31,32.309999999999945,1,0.6
2302.32,-7.5,0,0.0
2278.48,-13.559999999999945,0,0.2
2286.9,11.789999999999964,1,0.4
2308.94,-13.739999999999782,0,0.75
2308.06,12.659999999999854,1,0.4
2347.18,12.2199999999998,1,0.6
2364.02,5.320000000000164,1,0.75
2339.99,-24.0300000000002,0,0.0
2368.18,13.279999999999745,1,0.8
2362.71,-14.050000000000182,0,0.4
2389.88,2.4600000000000364,1,0.8
2347.15,-7.7599999999997635,0,0.4
2339.23,-7.320000000000164,0,0.6
2346.96,-22.230000000000018,0,0.8
2365.6,18.170000000000073,1,0.8
2359.75,13.079999999999927,1,0.2
2388.27,-2.119999999999891,0,0.6666666666666666
2355.52,-12.590000000000146,0,0.2
2347.68,12.029999999999745,1,0.6
2347.04,-4.599999999999909,0,0.4
2320.6,-4.829999999999927,0,0.0
2375.45,36.159999999999854,1,0.8
2361.66,6.9099999999998545,1,0.4
2471.21,-2.2899999999999636,0,0.6
2475.46,-20.98999999999978,0,0.6666666666666666
2519.27,12.239999999999782,1,0.8
2452.79,-9.179999999999836,0,0.2
2529.1,12.429999999999836,1,0.8
2549.97,-3.0100000000002183,0,0.6
2543.66,-10.220000000000255,0,0.4
2622.98,22.0300000000002,1,0.8
2639.21,-26.23999999999978,0,0.6
2636.39,-0.24000000000023647,0,0.4
2627.8,-18.419999999999618,0,0.4
2570.26,-41.07999999999993,0,0.4
2613.27,9.190000000000055,1,0.8
2706.24,59.83999999999969,1,0.8
2710.12,-4.510000000000218,0,0.4
2686.69,-5.139999999999873,0,0.4
2668.38,-4.460000000000036,0,0.2
2679.05,3.5,1,0.6
2672.33,11.049999999999727,1,0.4
2713.38,-4.9699999999998,0,0.8
2737.64,-18.40000000000009,0,0.6
2814.27,43.23000000000002,1,0.6
2800.47,6.369999999999891,1,0.4
2862.34,29.38000000000011,1,0.6
2938.8,59.40000000000009,1,0.6
2936.83,-3.900000000000091,0,0.6
2842.18,-21.269999999999982,0,0.0
2865.34,16.450000000000273,1,0.6
2820.17,-29.88000000000011,0,0.4
2880.77,-14.599999999999909,0,0.8
2860.44,1.3899999999998727,1,0.6
2932.36,12.88000000000011,1,1.0
3018.6,21.549999999999727,1,1.0
3117.82,11.269999999999982,1,1.0
3172.78,15.320000000000164,1,0.8
3149.64,8.409999999999854,1,0.6
2810.03,-135.80999999999995,0,0.2
2871.79,19.070000000000164,1,0.6666666666666666
2957.17,25.289999999999964,1,1.0
2864.18,-27.120000000000346,0,0.4
2908.2,9.949999999999818,1,0.6
2870.73,-24.25,0,0.4
2791.47,-75.20000000000027,0,0.4
2722.15,-16.639999999999873,0,0.4
2702.37,5.099999999999909,1,0.3333333333333333
2726.4,-23.299999999999727,0,0.6
2647.38,-35.17000000000007,0,0.4
2653.54,-12.480000000000018,0,0.4
2646.36,-17.61999999999989,0,0.3333333333333333
2724.72,-4.680000000000291,0,0.6
2740.54,39.659999999999854,1,0.4
2661.29,-4.389999999999873,0,0.2
2647.19,-11.099999999999909,0,0.4
2652.08,-43.159999999999854,0,0.6
2667.98,-3.3200000000001637,0,0.4
2583.71,4.6599999999998545,1,0.25
2479.91,54.73000000000002,1,0.2
2402.62,28.259999999999764,1,0.6
2476.86,2.230000000000018,1,0.6
2493.77,67.61000000000013,1,0.4
2525.09,-5.899999999999636,0,0.6
2413.5,-26.809999999999945,0,0.4
2503.21,-1.4099999999998545,0,0.4
2374.17,-30.98999999999978,0,0.0
2472.0,10.929999999999836,1,0.8
2474.48,-4.730000000000018,0,0.2
