week,index_level,max_52,ML,mean_52,std_52,mean-1.5*std,CC
105,3235.33,2986.61,1.0832783657725649,0.9345894272152372,0.08559453669943175,0.8061976221660896,0
106,3223.96,3235.33,0.9964856753406917,0.939554892574749,0.08660031750546085,0.8096544163165578,0
107,3250.49,3235.33,1.0046857662124111,0.9430622647786462,0.08510010766241533,0.8154121032850232,0
108,3110.46,3250.49,0.9569203412408591,0.9467924136655884,0.08341984221810757,0.821662650338427,0
109,3060.41,3250.49,0.9415226627370028,0.9497507454975362,0.0809137325357445,0.8283801466939195,0
110,3248.86,3250.49,0.9994985371436308,0.9523399587693558,0.07836649702969242,0.8347902132248172,0
111,3111.33,3250.49,0.9571879931948722,0.9560586220612376,0.07583956608904024,0.8422992729276773,0
112,3303.99,3250.49,1.016459056942184,0.9589874327484854,0.0727656526639081,0.8498389537526233,0
113,3350.25,3303.99,1.014001253030427,0.9624498666532811,0.07108291529870069,0.8558254937052301,0
114,2903.06,3350.25,0.866520408924707,0.9654266709956829,0.06990604007972819,0.8605676108760907,0
115,2736.7,3350.25,0.8168644131034997,0.9657704704139297,0.0693622793213514,0.8617270514319026,1
116,2582.27,3350.25,0.770769345571226,0.9652772002154564,0.07034031193859525,0.8597667323075635,1
117,2898.41,3350.25,0.8651324528020297,0.9636919026229964,0.07376142465194885,0.8530497656450732,0
118,2807.07,3350.25,0.8378688157600179,0.9641842515171473,0.0729979042214284,0.8546873951850047,1
119,2741.04,3350.25,0.8181598388179987,0.9640399432118266,0.07324438702728082,0.8541733626709054,1
120,2461.24,3350.25,0.7346436833072159,0.9626562424711752,0.07531865589458858,0.8496782586292924,1
121,2503.8,3350.25,0.7473472128945602,0.9591063284490452,0.08150150805751596,0.8368540663627713,1
122,2577.04,3350.25,0.7692082680396986,0.9559360465715053,0.08641969475421758,0.826306504440179,1
123,2271.36,3350.25,0.6779673158719499,0.953006531146628,0.09011155015157231,0.8178392059192696,1
124,2159.96,3350.25,0.6447160659652265,0.9485182912826329,0.09771797626578993,0.8019413268839479,1
125,2243.63,3350.25,0.6696903216177897,0.9435324241371321,0.10627457240033374,0.7841205655366315,1
126,2195.39,3350.25,0.6552913961644653,0.9382027369827406,0.11285163161346222,0.7689252895625472,1
127,2198.99,3350.25,0.6563659428400865,0.9328824255884594,0.11947908434884202,0.7536637990651963,1
128,2183.4,3350.25,0.6517125587642714,0.9271901631150106,0.1254353035756662,0.7390372077515113,1
129,2146.12,3350.25,0.6405850309678381,0.9211715563728589,0.13098672065299308,0.7246914753933693,1
130,2219.29,3350.25,0.6624251921498395,0.9148975185309625,0.13645586185645478,0.7102137257462803,1
131,2323.78,3350.25,0.6936139094097457,0.9090204104471764,0.14063949998735326,0.6980611604661465,1
132,2343.97,3350.25,0.6996403253488545,0.9038944970169507,0.14356601108422823,0.6885454803906084,0
133,2312.97,3350.25,0.6903872845310051,0.89917260598837,0.14619535384929908,0.6798795752144213,0
134,2493.48,3350.25,0.7442668457577792,0.8934247978672359,0.14844173548348868,0.6707621946420029,0
135,2447.77,3350.25,0.7306230878292664,0.8889079384408708,0.14935297565134326,0.6648784749638559,0
136,2466.76,3350.25,0.7362913215431685,0.8831128980627165,0.1495394436734853,0.6588037325524886,0
137,2334.44,3350.25,0.6967957615103351,0.8781984215374794,0.1500942513470485,0.6530570445169066,0
138,2397.56,3350.25,0.7156361465562271,0.8703026777828456,0.14859379778600018,0.6474119811038453,0
139,2342.45,3350.25,0.6991866278635922,0.8619631479305039,0.14474835041422635,0.6448406223091644,0
140,2422.84,3350.25,0.7231818521005896,0.8562391076375028,0.14519479041844485,0.6384469220098354,0
141,2492.34,3350.25,0.7439265726438326,0.8492547690578335,0.14262019008784407,0.6353244839260674,0
142,2420.8,3350.25,0.7225729423177375,0.8437305756261909,0.14098916206690576,0.6322468325258322,0
143,2219.61,3350.25,0.6625207074098948,0.8374845448634797,0.13897086937932387,0.6290282407944938,0
144,2070.93,3350.25,0.6181419297067382,0.8310880465983224,0.1392267143446952,0.6222479750812796,1
145,2061.96,3350.25,0.6154645175733154,0.8232122985180175,0.13947098077540096,0.614005827354916,0
146,1973.01,3350.25,0.588914260129841,0.8164590319993686,0.14088498874743138,0.6051315488782216,1
147,1967.26,3350.25,0.5871979703007238,0.8103486542828614,0.1437575288592787,0.5947123609939433,1
148,2004.11,3350.25,0.5981971494664577,0.8047861742792061,0.14671540320226373,0.5847130694758105,0
149,1955.4,3350.25,0.5836579359749273,0.7986941919583315,0.1486146711593082,0.5757721852193691,0
150,2122.27,3350.25,0.6334661592418476,0.7921936566768982,0.1505101550724364,0.5664284240682436,0
151,2070.72,3350.25,0.618079247817327,0.786438297742262,0.15075209994247568,0.5603101478285485,0
152,2141.18,3350.25,0.6391105141407357,0.7811334981128456,0.1517456079550279,0.5535150861803038,0
153,2149.2,3350.25,0.6415043653458696,0.7753367832922211,0.15129351442708816,0.5483965116515889,0
154,2167.78,3350.25,0.647050220132826,0.7682422125154803,0.14868078885971342,0.5452210292259102,0
155,2123.8,3350.25,0.6339228415789867,0.7613933086789803,0.14582094579707527,0.5426618899833673,0
156,2182.07,3350.25,0.6513155734646668,0.7534384637191222,0.141109713163518,0.5417738939738451,0
157,2157.72,3350.25,0.6440474591448399,0.7455764227860258,0.13494061941675037,0.5431654936609003,0
158,2135.51,3350.25,0.6374181031266324,0.7371296745816464,0.12689450338740121,0.5467879195005445,0
159,2107.01,3350.25,0.6289112752779644,0.7302245289621454,0.12218680755508063,0.5469443176295244,0
