month,index_level,max_12,ML,mean_12,std_12,CCt
1,3367.77,,,,,
2,3841.22,,,,,
3,3235.98,,,,,
4,3430.74,,,,,
5,3664.15,,,,,
6,3872.89,,,,,
7,3713.83,,,,,
8,3946.38,,,,,
9,3829.1,,,,,
10,3885.42,,,,,
11,3975.93,,,,,
12,3840.54,,,,,
13,3766.17,3975.93,0.9472425319359244,,,
14,3829.24,3975.93,0.9631054872696451,,,
15,3924.9,3975.93,0.9871652669941373,,,
16,4257.05,3975.93,1.0707054701667285,,,
17,4427.88,4257.05,1.0401287276400324,,,
18,4916.12,4427.88,1.1102649574965897,,,
19,4986.42,4916.12,1.0142998950391773,,,
20,5245.27,4986.42,1.0519109902495178,,,
21,5322.71,5245.27,1.0147637776511027,,,
22,5632.73,5322.71,1.0582447662938614,,,
23,6018.46,5632.73,1.068480115325961,,,
24,7253.1,6018.46,1.2051421792285735,1.029664726005698,0.049594813636923814,
25,8469.67,7253.1,1.167731039141884,1.0442878471076043,0.06929696565393315,0
26,9966.85,8469.67,1.1767695789800547,1.0626618893747677,0.07044787063643175,0
27,8906.02,9966.85,0.8935641652076635,1.0804672303506353,0.06999782650458027,1
28,7727.06,9966.85,0.7752760400728415,1.0726671385350957,0.08495670291641554,1
29,6581.31,9966.85,0.6603199606696198,1.048048019360605,0.12081483203247041,1
30,6123.73,9966.85,0.6144097683821869,1.0163972887797372,0.16481603170826742,1
31,7084.97,9966.85,0.7108534792838259,0.9750760230202037,0.19796717603639177,0
32,7408.4,9966.85,0.7433040529354811,0.9497888217072576,0.21142433861474905,0
33,7617.69,9966.85,0.7643026633289354,0.924071576931088,0.21657945483564475,0
34,5469.13,9966.85,0.5487320467349263,0.9031998174042406,0.21909871771733194,1
35,5350.43,9966.85,0.5368225668089718,0.8607404241076627,0.2351057001120399,0
36,6155.81,9966.85,0.6176284382728746,0.8164356283979136,0.24238091966080746,0
37,5985.59,9966.85,0.600549822662125,0.7674761499849386,0.21445507311681122,0
38,5947.32,9966.85,0.5967100939614822,0.7202110486116254,0.1775472554270335,0
39,6123.49,8906.02,0.6875675105153592,0.6718727581934112,0.10682228968416499,0
40,6202.89,7727.06,0.8027490403853471,0.6547063703023859,0.08151076010108951,0
41,6434.21,7617.69,0.844640566891013,0.6569957869950946,0.08549361160931722,0
42,6328.09,7617.69,0.8307098346086544,0.672355837513544,0.10125084662024043,0
43,6452.21,7617.69,0.8470034879340063,0.6903808430324164,0.10895724972134199,0
