week,index_level,max_52,ML,mean_52,std_52,mean-1.5*std,CC
105,7980.76,7952.19,1.0035927209988695,0.9913282790969387,0.04360871349451109,0.925915208855172,0
106,8419.1,7980.76,1.0549245936477227,0.9918853306058895,0.043576174102944794,0.9265210694514723,0
107,8469.67,8419.1,1.0060065802758014,0.994492813411785,0.04320492735715763,0.9296854223760486,0
108,8201.29,8469.67,0.9683128150211284,0.9963200944998274,0.04158285712140135,0.9339458088177254,0
109,8742.89,8469.67,1.0322586358146184,0.9976557769942888,0.0394517526559774,0.9384781480103227,0
110,9778.17,8742.89,1.1184139340652806,1.0001716929883826,0.0373083283984387,0.9442092003907245,0
111,9966.85,9778.17,1.01929604414732,1.004065806301213,0.038876837311635874,0.9457505503337591,0
112,11144.52,9966.85,1.118158696077497,1.0058552728520966,0.037335524651569155,0.949851985874743,0
113,11545.89,11144.52,1.0360150100677283,1.0095966940233947,0.03865635963628003,0.9516121545689746,0
114,9987.41,11545.89,0.8650186343365475,1.011417786755941,0.037592641774988306,0.9550288240934586,1
115,9078.07,11545.89,0.7862598725607121,1.010425981878682,0.040695730332828986,0.9493823863794386,1
116,7355.49,11545.89,0.6370656571299398,1.00745451094991,0.0503718524416797,0.9318967322873905,1
117,7244.78,11545.89,0.6274769636641264,1.0010778614523297,0.0718073835846787,0.8933667860753116,1
118,7994.7,11545.89,0.6924282147153663,0.9943996383071092,0.08851014953391399,0.8616344140062382,1
119,8425.07,11545.89,0.729702950573754,0.9889110757907709,0.09790774099873341,0.8420494642926708,1
120,7727.06,11545.89,0.6692476716823044,0.983919403917999,0.1042973937573288,0.8274733132820058,1
121,8013.32,11545.89,0.694040909795607,0.9772049758096479,0.11291680516490506,0.8078297680622903,1
122,8625.24,11545.89,0.7470398557408741,0.9708576230458772,0.11932390150767576,0.7918717707843635,1
123,7612.9,11545.89,0.6593601705888416,0.9654937372414107,0.12301041488026224,0.7809781149210173,1
124,6842.89,11545.89,0.5926689064247105,0.9585164603704995,0.1298326809227725,0.7637674389863408,1
125,6122.55,11545.89,0.530279605989664,0.951082394371656,0.13934186573598245,0.7420695957676823,1
126,6493.32,11545.89,0.5623923318167764,0.9414338231853121,0.15054863493686738,0.7156108707800111,1
127,6036.88,11545.89,0.5228596496242386,0.9326454182480807,0.15900971559701738,0.6941308448525546,1
128,6108.38,11545.89,0.5290523294436376,0.9234624463303927,0.16852536665349235,0.6706743963501541,1
129,6123.73,11545.89,0.5303818068594106,0.9141179896552735,0.17662894363394663,0.6491745742043535,1
130,6470.05,11545.89,0.5603768960210084,0.9047437384072986,0.18380573688564567,0.6290351330788301,1
131,7047.56,11545.89,0.6103955606713731,0.8960323267893295,0.18921170707106563,0.6122147661827311,1
132,7138.23,11545.89,0.6182485715696234,0.8890074770614738,0.19294070146050282,0.5995964248707195,0
133,7084.97,11545.89,0.6136356746859706,0.8824658526814133,0.19627910564420878,0.5880471942151002,0
134,7446.85,11545.89,0.6449784295537201,0.8750181285425366,0.19902479883657417,0.5764809302876753,0
135,7567.11,11545.89,0.6553942571772293,0.8682261173659319,0.20075881372131218,0.5670878967839637,0
136,7806.27,11545.89,0.6761081215913196,0.8618953114812785,0.20220260007886193,0.5585914113629856,0
137,7376.12,11545.89,0.6388524401323762,0.8554994366686159,0.2027275013114502,0.5514081847014407,0
138,7511.68,11545.89,0.6505934146263302,0.8477303508739168,0.20314774759631424,0.5430087294794455,0
139,7290.7,11545.89,0.631454136493592,0.8406860853515329,0.20351736766068146,0.5354100338605107,0
140,7699.37,11545.89,0.6668494156795188,0.8330242897537385,0.20375500003538574,0.5273917897006599,0
141,7792.12,11545.89,0.6748825772634245,0.8265093020283927,0.20354388351072675,0.5211934767623025,0
142,7617.69,11545.89,0.659775036831288,0.8206099368622333,0.20340475296405497,0.5155028074161508,0
143,6570.43,11545.89,0.5690708988220051,0.81476830499097,0.20358129752771048,0.5093963586994043,0
144,5893.68,11545.89,0.5104569678041277,0.8068817579850862,0.2050259266185099,0.49934286805732137,0
145,5980.61,11545.89,0.517986053911825,0.7974813938511613,0.20722604089034713,0.48664233251564065,0
146,5469.13,11545.89,0.47368630742194845,0.7878318482783454,0.20835212972686712,0.4753036536880447,1
147,5664.2,11545.89,0.4905814969655869,0.7777123428258579,0.21061675765952223,0.46178720633657455,0
148,5979.52,11545.89,0.517891648023669,0.7682520897214119,0.21227879702202948,0.44983389418836767,0
149,5648.94,11545.89,0.48925981453140466,0.7585181067036157,0.21192363332646813,0.44063265671391355,0
150,5621.56,11545.89,0.4868884079096545,0.748221879623131,0.21174563437394764,0.4306034280622096,0
151,5508.98,11545.89,0.47713775204856446,0.7380050713107212,0.21128209234206427,0.42108193279762485,0
152,5949.26,11545.89,0.5152708019910116,0.7275839428646061,0.21051161707114932,0.41181651725788215,0
153,6077.43,11545.89,0.5263717218854502,0.7176459240447424,0.20804011156234722,0.40558575670122154,0
154,6124.53,11545.89,0.5304510955846626,0.7069537937958882,0.20315829849470507,0.4022163460538306,0
155,6168.74,11545.89,0.5342801637639022,0.697067718779189,0.1988719831120964,0.3987597441110445,0
156,6384.35,11545.89,0.5529543413283862,0.6867059061990345,0.19284119069636485,0.3974441201544872,0
157,6011.32,11545.89,0.5206458748524366,0.6774247416413741,0.1872543930172668,0.3965431521154739,0
158,5985.59,11545.89,0.5184173762265187,0.668137302292404,0.1826806554516585,0.3941163191149162,0
159,5961.49,11545.89,0.5163300533783017,0.6578198558035347,0.17541321404207888,0.39470003474041643,0
160,5714.31,11545.89,0.4949215694935601,0.6484029995170444,0.1693953337725807,0.3943099988581733,0
161,5732.9,11545.89,0.4965316662466038,0.6392993217184375,0.16451583106577286,0.3925255751197782,0
162,5739.59,11545.89,0.4971110932115238,0.6289968799959755,0.1559779193313136,0.3950300009990051,0
163,6032.6,11545.89,0.5224889549441404,0.6170487484410956,0.14081179743419941,0.40583105228979643,0
164,6023.88,11545.89,0.5217337078388934,0.607494765956419,0.12937392671100553,0.41343387588991076,0
165,5964.27,11545.89,0.5165708316985526,0.5960250546441384,0.10786290733094285,0.43423069364772404,0
166,5903.62,9987.41,0.5911062027092109,0.5860357435216541,0.08865970068837925,0.45304619248908523,0
