q,amount
1,12.48011743
2,11.69014461
3,9.112198186
4,9.282537305
5,9.459649012
6,9.320195173
7,8.964553638
8,9.032584775
9,9.345675138
10,9.324105569
11,9.20524441
12,9.135209415
13,9.164358212
14,9.306897047
15,9.549821648
16,10.40080201
17,10.95976212
18,10.89745314
19,10.90326374
20,11.4264953
21,11.22497202
22,11.78759479
23,11.37330989
24,11.28090538
25,11.10816126
26,11.40321908
27,11.14432108
28,11.22327065
29,11.4750725
30,11.34300604
31,11.11807116
