week,BASIS
1,-213.42500000000018
2,-112.12399999999998
3,-135.55499999999984
4,-56.39799999999995
5,-133.78200000000032
6,-4.270000000000072
7,80.54400000000024
8,146.55400000000046
9,-237.50000000000037
10,-71.21399999999957
11,-341.86999999999944
12,-459.35200000000003
13,-214.12600000000003
14,-219.73199999999997
15,-438.25199999999967
16,-419.64800000000014
17,-304.2400000000001
18,-193.96600000000018
19,-321.7039999999999
20,-579.816
21,-720.556666666667
22,-143.4120000000001
23,-168.6699999999999
24,-215.73200000000014
25,-206.94333333333302
26,-120.26999999999998
27,-102.37999999999992
28,-287.3439999999999
29,-328.68999999999994
30,-214.40400000000008
31,-154.64799999999997
32,-171.6539999999997
33,-326.4519999999999
34,-222.15999999999985
35,-168.55000000000018
36,-115.00599999999977
37,-216.60200000000003
38,-263.2225000000001
39,-163.4039999999999
40,-128.05200000000005
41,-252.83999999999997
42,-183.75799999999998
43,-53.31399999999976
44,
45,-97.08600000000006
46,-237.08999999999997
47,-205.9120000000001
48,-119.92999999999992
49,-81.64599999999992
50,-167.07800000000006
51,-132.5779999999999
52,-80.93000000000029
53,-95.10199999999986
54,-193.64799999999997
55,-154.69400000000005
56,-83.53499999999963
57,-74.86599999999999
58,-83.53999999999978
59,-140.724
60,-60.70199999999986
61,-44.899999999999636
62,-76.41400000000013
63,-114.05
64,-72.59200000000001
65,-57.08400000000002
66,-51.320000000000256
67,-141.7539999999999
68,-112.42400000000016
69,-78.37999999999992
70,-37.59600000000046
71,-58.027999999999885
72,-114.9619999999999
73,-95.14399999999986
74,-52.38199999999997
75,-61.41000000000016
76,-100.95599999999995
77,-26.23799999999992
78,
79,-18.915999999999805
80,-32.40199999999986
81,-61.560000000000215
82,-46.88199999999979
83,-40.28600000000006
84,-53.771999999999935
85,-77.7659999999998
86,-66.6460000000001
87,-56.29800000000014
88,-76.29600000000009
89,-101.91399999999976
90,-57.97999999999975
91,-36.382499999999936
92,-35.204000000000086
93,-23.915999999999986
94,-39.92750000000001
95,-42.090000000000146
96,-52.49400000000005
97,-59.507999999999996
98,-78.25799999999963
99,-65.02800000000025
100,-49.85999999999986
101,-42.728000000000065
102,-58.85799999999981
103,-26.929999999999744
104,-15.916666666666364
105,-16.649999999999817
106,-17.908000000000175
107,-32.14600000000009
108,-41.497499999999945
109,-35.000000000000185
110,-29.393999999999686
111,-42.37399999999998
112,-37.940000000000204
113,-20.39800000000032
114,-33.50400000000009
115,-47.55200000000004
116,-39.954000000000086
117,-37.97400000000016
118,-37.362000000000265
119,-57.40799999999981
120,-63.46200000000026
121,-33.177999999999884
122,-27.55400000000027
123,-29.038000000000103
124,-34.37199999999975
125,-9.827999999999884
126,-12.488000000000103
127,-2.569999999999891
128,-21.522000000000116
129,-25.75000000000018
130,
131,2.992000000000007
132,-20.041999999999643
133,-41.11800000000021
134,-55.60799999999999
135,-25.38000000000011
136,-28.20599999999995
137,-52.7
138,-48.292000000000186
139,-40.10799999999999
140,-10.891999999999825
141,-21.515999999999984
142,-1.9159999999999855
143,-3.6174999999998363
144,-4.835999999999876
145,-10.989999999999963
146,4.942000000000007
147,-8.889999999999963
148,-30.917999999999846
149,-36.02666666666664
150,-57.50500000000011
151,-29.978000000000065
152,-35.69200000000001
153,-23.133999999999833
154,-83.70199999999986
155,-36.17599999999984
156,-41.65333333333334
157,-27.385999999999694
158,-18.899999999999817
159,-37.097999999999956
160,-24.673333333333176
161,-10.41800000000003
162,-12.86399999999976
163,-32.39600000000009
164,-24.18000000000011
165,-9.281999999999972
166,-8.802000000000044
167,-67.16750000000002
168,-70.05599999999995
169,-47.80800000000018
170,-15.145999999999912
171,-15.804000000000087
172,-14.133999999999833
173,-41.560000000000215
174,-23.556000000000132
175,-29.954000000000086
176,-45.48199999999997
177,-28.47600000000002
178,-26.861999999999718
179,-13.408000000000175
180,5.301999999999862
181,3.4774999999999636
182,
183,-10.506000000000132
184,-13.132000000000062
185,-25.555999999999766
186,-12.589999999999781
187,-9.522000000000116
188,1.5899999999999637
189,-24.43000000000011
190,-44.183999999999834
191,-29.065999999999985
192,-14.611999999999899
193,-17.104000000000088
194,-29.470000000000255
195,-21.483333333333423
196,-9.70599999999995
197,1.7339999999998326
198,-11.313999999999941
199,-2.2540000000000875
200,
201,0.4260000000002037
202,4.492000000000007
203,25.221999999999934
204,6.821999999999934
205,-14.189999999999781
206,-25.394000000000233
207,-37.801999999999865
208,-4.2974999999999
209,-23.83600000000006
210,-28.89400000000005
211,-50.81599999999999
212,-23.580000000000382
213,-66.53399999999984
214,-71.5619999999999
215,-89.06000000000003
216,-75.69999999999963
217,-60.85749999999962
218,-40.91999999999989
219,-23.905999999999768
220,-46.18799999999974
221,-40.81400000000012
222,-39.595999999999734
223,-19.81200000000008
224,-45.5340000000002
225,-37.54600000000009
226,-30.949999999999818
227,-30.897999999999957
228,-39.755999999999766
229,-43.007999999999996
230,-16.440000000000328
231,-6.367500000000064
232,-26.35599999999995
233,-33.819999999999894
234,-46.899999999999636
235,-17.847499999999854
236,-24.990000000000144
237,-39.59999999999982
238,-27.370000000000072
239,-22.126000000000023
240,-30.53199999999997
241,-38.92999999999993
242,-21.504000000000087
243,-4.45
244,6.316000000000168
245,9.151999999999862
246,-15.25
247,-0.44499999999993634
248,-0.5319999999999709
249,1.6579999999999928
250,-5.5324999999998
251,
252,-53.53200000000034
253,-33.180000000000106
254,-22.409999999999854
255,-48.92000000000007
256,-72.18600000000006
257,-37.78799999999992
258,-48.14799999999995
259,-67.48399999999984
260,-53.2
261,-39.66000000000008
262,-41.9880000000001
263,-75.16599999999998
264,-47.26000000000022
265,-36.256666666666206
266,-50.71399999999976
267,-81.2
268,-74.56399999999994
269,-50.56000000000004
270,-40.382000000000154
271,-45.541999999999824
272,-61.55333333333359
273,-40.82800000000007
274,6.540000000000146
275,-23.85599999999995
276,-77.30199999999986
277,-69.95599999999995
278,-73.54800000000031
279,-58.55400000000009
280,-64.10999999999986
281,-92.99800000000013
282,-67.65600000000013
283,-32.1340000000002
284,-29.529999999999927
285,-57.87399999999998
286,-22.04666666666708
287,-25.36999999999989
288,-15.69400000000005
289,-60.847999999999956
290,-36.91799999999985
291,-26.176000000000023
292,-26.722000000000115
293,-22.78199999999997
294,-28.280000000000108
295,-19.74999999999982
296,-13.536000000000058
297,-17.37199999999975
298,-24.51600000000017
299,-17.872499999999945
300,-34.795999999999914
301,-19.94599999999973
302,-64.43200000000016
303,-52.310000000000215
304,-23.651999999999862
305,-21.53666666666656
306,-91.50999999999976
307,-51.515999999999984
308,-39.72199999999975
309,-4.496000000000095
310,-13.505999999999949
311,-24.239999999999963
312,-25.367999999999665
313,-23.992499999999836
314,-8.172000000000116
315,-34.218000000000394
316,-24.30199999999986
317,-28.695000000000164
318,-8.101999999999862
319,-13.100000000000183
320,-28.67599999999984
321,-48.31400000000012
322,-27.54400000000005
323,-14.470000000000255
324,-35.51999999999989
325,-29.96800000000021
326,-27.846000000000096
327,-29.061999999999898
328,-42.34200000000019
329,-13.131999999999971
330,-41.53000000000011
331,-49.63399999999983
332,-30.315999999999985
333,-73.29799999999996
334,-85.56200000000027
335,-56.617999999999846
336,-48.476000000000205
337,-52.01333333333332
338,6.019999999999982
339,-9.94000000000051
340,-4.1079999999999925
341,-41.360000000000035
342,-30.160000000000036
343,-3.614000000000124
344,-3.9039999999999053
345,-4.68799999999992
346,-30.992000000000008
347,-14.522000000000116
348,-16.56999999999989
349,-7.315999999999986
350,11.629999999999928
351,27.45799999999999
352,6.807499999999891
353,10.699999999999818
354,12.922000000000116
355,8.671999999999935
356,
357,-2.267999999999847
358,-3.2840000000001965
359,-3.5600000000000365
360,-4.3140000000001235
361,-17.871999999999936
362,-31.514000000000124
363,-50.30199999999968
364,-13.379999999999928
365,-16.08000000000023
366,-22.114000000000125
367,-39.2619999999999
368,-34.68600000000006
369,-47.03500000000031
370,-30.826000000000384
371,-46.28199999999997
372,-66.90799999999999
373,-50.88500000000022
374,-19.32599999999984
375,-21.35599999999995
376,-45.902000000000044
377,-22.842000000000006
378,-27.20799999999981
379,-22.70799999999999
380,-42.10200000000005
381,-41.58199999999979
382,-21.394000000000233
383,-22.084000000000195
384,-19.48600000000024
385,-37.865999999999985
386,-20.93600000000024
387,-11.42599999999984
388,-20.319999999999936
389,-29.78199999999997
390,1.6339999999998327
391,
392,0.9900000000001455
393,-5.826000000000204
394,-0.855999999999949
395,10.951999999999861
396,5.036000000000058
397,5.545999999999912
398,12.072000000000116
399,9.608000000000175
400,2.568000000000029
401,13.8
402,25.20799999999999
403,13.58199999999997
