week,BASIS
1,59.585000000000036
2,2.8400000000000545
3,21.112500000000068
4,7.003999999999905
5,-14.503999999999996
6,22.98199999999997
7,38.8340000000001
8,42.064000000000036
9,28.307999999999993
10,-3.4779999999998834
11,-23.272499999999923
12,-9.313999999999941
13,-48.503999999999905
14,-43.558000000000085
15,-85.42400000000006
16,-56.12399999999989
17,-46.16400000000003
18,-27.82400000000007
19,-42.68000000000002
20,-83.52599999999998
21,-195.9333333333333
22,-34.15599999999995
23,-39.096000000000004
24,-39.760000000000126
25,-33.42000000000007
26,-16.11500000000001
27,-12.753999999999996
28,-49.69399999999996
29,-29.427999999999884
30,-12.154000000000087
31,-17.23799999999992
32,-29.410000000000036
33,-34.50000000000009
34,-21.3079999999999
35,-20.66399999999994
36,-9.090000000000055
37,-26.492000000000008
38,-28.414999999999964
39,-26.684000000000104
40,-14.103999999999996
41,-41.54200000000005
42,-24.727999999999973
43,-11.031999999999972
44,
45,-20.280000000000065
46,-29.394000000000005
47,-25.390000000000008
48,-17.02399999999984
49,-22.983999999999924
50,-14.104000000000088
51,-4.070000000000073
52,-2.325000000000159
53,-3.120000000000073
54,-14.033999999999832
55,-13.604000000000088
56,-7.372500000000173
57,-7.938000000000011
58,-12.033999999999924
59,-15.723999999999979
60,-12.453999999999905
61,-6.183333333333394
62,-17.634000000000107
63,-33.47600000000002
64,-22.765999999999984
65,-20.53800000000001
66,-6.17599999999984
67,-12.381999999999971
68,-9.255999999999949
69,-8.30599999999995
70,-6.373999999999887
71,-3.951999999999862
72,-7.270000000000072
73,-8.064000000000124
74,-4.731999999999971
75,-7.030000000000048
76,-12.401999999999953
77,-4.309999999999855
78,
79,-4.488000000000102
80,-8.154000000000178
81,-10.459999999999946
82,-8.129999999999836
83,-2.393999999999869
84,-6.639999999999963
85,-9.979999999999928
86,0.5300000000000182
87,-3.8340000000001053
88,-5.802000000000044
89,-11.789999999999964
90,-11.131999999999971
91,-8.129999999999882
92,-4.1760000000000215
93,-3.2220000000000253
94,-0.11249999999995453
95,2.0100000000002183
96,-3.443999999999869
97,-7.416000000000167
98,-6.01800000000012
99,-7.692000000000007
100,-8.846000000000094
101,-6.330000000000018
102,-7.397999999999956
103,-2.369999999999982
104,-4.1066666666667215
105,-5.111999999999989
106,-5.327999999999884
107,-11.53199999999988
108,-8.697499999999991
109,-6.969999999999982
110,-6.687999999999829
111,-12.246000000000004
112,-5.396666666666685
113,-6.778000000000157
114,-14.43799999999992
115,-18.59399999999987
116,-21.28199999999997
117,-22.551999999999953
118,-5.6760000000000215
119,1.0260000000000218
120,-0.05399999999999636
121,1.1239999999999781
122,-2.068000000000029
123,-1.0079999999999927
124,4.3699999999999815
125,7.446000000000003
126,2.9900000000001454
127,6.083999999999923
128,9.899999999999817
129,6.960000000000036
130,
131,5.4260000000000215
132,-0.5739999999998873
133,5.50600000000004
134,-0.7579999999999927
135,3.4719999999999347
136,1.6019999999998618
137,5.431999999999971
138,-1.6260000000000219
139,-4.080000000000018
140,1.8679999999999382
141,8.90600000000004
142,8.325999999999931
143,9.892499999999927
144,5.541999999999916
145,9.796000000000003
146,13.0
147,6.05600000000004
148,-10.620000000000072
149,-8.773333333333388
150,-9.625
151,-5.848000000000047
152,-1.5739999999998873
153,-2.6400000000000547
154,-15.835999999999967
155,-11.80600000000004
156,-5.003333333333255
157,-2.073999999999978
158,-5.502000000000135
159,2.2979999999999565
160,1.5099999999999152
161,1.9019999999999526
162,-4.074000000000069
163,-15.052000000000044
164,-15.315999999999985
165,-16.059999999999945
166,-12.684000000000015
167,-28.51750000000004
168,-27.66199999999999
169,-27.634000000000015
170,-16.498000000000047
171,0.0980000000000473
172,-3.7519999999999527
173,-2.938000000000011
174,-1.0299999999999272
175,-1.9919999999999163
176,-1.0660000000000764
177,-0.8920000000000983
178,-1.9720000000000255
179,2.6960000000000948
180,7.370000000000073
181,7.3799999999999955
182,
183,1.926000000000022
184,0.04400000000005093
185,4.388000000000102
186,2.144000000000142
187,0.3579999999999927
188,0.1780000000000655
189,5.484000000000106
190,4.917999999999938
191,5.040000000000236
192,5.601999999999862
193,4.433999999999832
194,3.34399999999996
195,-0.35999999999997573
196,1.2480000000000473
197,-1.0079999999999019
198,1.3660000000000765
199,4.75
200,
201,2.5540000000000873
202,4.3659999999999854
203,16.84400000000005
204,3.275999999999931
205,2.026000000000022
206,6.610000000000037
207,2.079999999999836
208,5.0674999999999955
209,2.433999999999924
210,1.7340000000000146
211,7.470000000000073
212,6.0750000000000455
213,0.5039999999999054
214,-9.079999999999927
215,-22.301999999999953
216,-24.210000000000036
217,-15.329999999999927
218,-13.35
219,-10.817999999999937
220,-20.41199999999999
221,-14.38799999999992
222,-6.840000000000236
223,0.44399999999986905
224,-2.2159999999998945
225,-1.0039999999999965
226,-9.09399999999996
227,-15.097999999999956
228,-13.376000000000023
229,-7.399999999999909
230,-6.225999999999931
231,0.7775000000000318
232,-0.29600000000000365
233,0.04400000000005093
234,-12.899999999999636
235,-7.162500000000023
236,-4.759999999999946
237,-3.423999999999978
238,0.17200000000002547
