week,amount
1,8.386430533733776
2,9.44612607348946
3,9.294453553250925
4,9.359292993849657
5,9.316824256418956
6,9.497703393536641
7,9.833269466494555
8,10.037665236269554
9,10.148030494856227
10,10.10615611456949
11,9.903728023620639
12,10.275512726544752
13,9.766860516204206
14,9.71126292177238
15,9.404369790168879
16,9.333873952620326
17,8.982327484664387
18,9.087344146227034
19,9.266319868944418
20,9.199687834633737
21,8.187087843077228
22,5.958114567426428
23,5.7775904018009205
24,5.250019581140284
25,4.57913417143725
26,4.420525933824491
27,5.594079209564238
28,5.3694279940059895
29,5.23521780960472
30,5.611520976229896
31,5.632465475905158
32,5.673804251136515
33,5.450952612971631
34,5.637785112149048
35,5.4869522853985835
36,5.760981628407009
37,5.505534767311987
38,5.217053079717073
39,5.374027625782513
40,5.783886718897863
41,5.534614035107159
42,5.458691497609166
43,5.29265134492141
45,5.504518197131935
46,5.471429984256681
47,5.688465770544308
48,5.658680500743781
49,5.943009326838578
50,5.4844649281755204
51,5.540361177362727
52,5.241323645027917
53,5.774147737316764
54,5.443412886165876
55,5.186379713307172
56,5.023024891742178
57,5.270843389547282
58,5.492773335997992
59,5.045229938860754
60,5.261757111236235
61,4.515901718229909
62,5.548102848808668
63,5.106490779739777
64,4.996739188904145
65,5.089199986966919
66,5.574774170759263
67,4.9883215164996715
68,5.174396784628558
69,4.802954902835411
70,5.059869803973954
71,5.6543120791819055
72,5.109575241951159
73,5.018405031360617
74,5.2266065189940365
75,5.257964012198821
76,4.9927428412546675
77,4.983127054679654
79,5.049856007249537
80,5.57485001452115
81,5.028802598051705
82,4.941499555261394
83,5.308861580423708
84,5.592292098622838
85,5.211505969561073
86,5.519017936211107
87,5.325348705599067
88,5.873159500227444
89,5.07179310707435
90,4.9709237938600275
91,4.946487807605782
92,5.190398024328543
93,5.86348912005414
94,4.724818148253988
95,3.3006401266708405
96,5.290789100127245
97,5.754538958319987
98,5.578294834614265
99,5.466032770952629
100,5.592329362694687
101,6.181402855991089
102,5.6066472972229695
103,5.59031511306742
104,5.070475294452272
105,5.651190091203695
106,6.0055400212125285
107,5.489763831118992
108,5.160376265434814
109,5.741431440440958
110,5.910715339922429
111,5.9082187985047145
112,5.386969064142599
113,5.950512335776553
114,6.188284656752676
115,6.04101632593723
116,5.949913119949747
117,5.944530159918767
118,6.166677564664642
119,6.454695292066289
120,6.088908811768835
121,6.049497578358592
122,6.030132222748821
123,6.165606911989128
124,5.9568213411644075
125,6.073758564834062
126,5.944399144681508
127,6.286761304121399
128,5.973911387860393
129,5.714953182658373
131,5.937166743700133
132,6.1775913547429155
133,5.865901324132636
134,6.064343192520554
135,6.054744464035459
136,6.293493213266684
137,6.4577895434729085
138,6.376199597989749
139,6.403160204966783
140,6.427782118698911
141,6.106577354208486
142,6.178856560715042
143,5.998837301437395
144,6.184973293292501
145,6.714971180177274
146,6.631685521858522
147,6.708743207242855
148,7.013366763144734
149,6.185117493855133
150,5.492155683469657
151,6.533599866591012
152,6.538877612316229
153,6.596900105563904
154,6.501184559911356
155,6.589545268161397
156,5.944163273989969
157,6.470737582360866
158,6.7005096828207
159,6.532028568637761
160,5.820231287299448
161,6.358881587578616
162,6.452900326932563
163,6.296188085414615
164,6.433277656336955
165,6.284190129653785
166,6.499772002948803
167,6.237718972919284
168,6.458259910367753
169,6.562754779889042
170,6.408693522136389
171,6.554431855276919
172,6.4090064364415955
173,6.5248536892827245
174,6.520061324359091
175,6.62618780753021
176,6.493844607290443
177,6.35320414401245
178,6.503554371435595
179,6.427992180667964
180,6.627260648210327
181,6.351513791685663
183,6.7190614623971525
184,6.849638759246461
185,6.952843360798062
186,6.912235229003843
187,6.708377081218189
188,6.761989348689272
189,6.554688104922419
190,6.480044561926653
191,6.742279039774962
192,6.631553719193281
193,6.949530419114759
194,6.819131693992412
195,6.348666851967497
196,6.821707074356683
197,6.938575421322024
198,6.872739313474518
199,6.941257751036138
201,7.058233509328497
202,7.163466693004143
203,7.667420270592394
204,7.729110960682049
205,7.76227698445866
206,7.526534453582501
207,7.454951404057778
208,7.243470085968791
209,7.598504586942081
210,7.854400612870039
211,7.863109019267142
212,6.954247566959895
213,7.983723106165693
214,7.719809307928763
215,7.60176708564518
216,7.6228107115909625
217,7.309520216561526
218,7.507448555790823
219,7.738305099210958
220,7.536081231780092
221,7.401408293919412
222,7.45203115260246
223,7.575851282675224
224,7.280876242715693
225,7.244377504354475
226,7.438565866361207
227,7.412395814464103
228,7.235734408198455
229,7.367607557171497
230,7.411169506072109
