week,inventory
1,11.268277338868508
2,12.367600333910758
3,12.198488961956752
4,12.413883245646812
5,12.225600725337719
6,12.378714168270822
7,12.696714949545807
8,12.572114086557969
9,13.078114685122419
10,13.061963480335397
11,12.726582228041769
12,12.806901665728098
13,12.401281634810257
14,11.89252560688334
15,11.810218701853858
16,11.917997162369213
17,11.86762345602474
18,11.86912329510827
19,11.898561945444207
20,11.960383082278973
21,11.367911253546788
22,11.632537937297519
23,11.418383989636903
24,11.280728555402623
25,10.863412321430344
26,10.503751605616017
27,11.353026629438281
28,11.277987633773307
29,11.381642970249528
30,11.435612361867559
31,11.451028784430047
32,11.34984167008368
33,11.319085829047738
34,11.343547773732098
35,11.331043811404658
36,11.295416012273112
37,11.248790633974506
38,11.067606643406357
39,11.294831642288125
40,11.2885561627302
41,11.267919666798884
42,11.38083303653996
43,11.3785136849184
45,11.394749852265559
46,11.451805095291126
47,11.51635956170451
48,11.503329571296781
49,11.46461718467611
50,11.411866794206256
51,11.458141876058804
52,11.2830467835011
53,11.471165530721997
54,11.425710430880264
55,11.449303856672904
56,11.234665531097352
57,11.44169795568186
58,11.391774263406077
59,11.36227697863114
60,11.407053707539484
61,10.87115557527003
62,11.344767134488363
63,11.321789172290998
64,11.380559107714086
65,11.44622995253196
66,11.385716898229186
67,11.282857998583195
68,11.323252956009192
69,11.317725334200908
70,11.379268350157288
71,11.44103196214531
72,11.461242621033893
73,11.541784993650781
74,11.583738013174154
75,11.084585715759665
76,11.562705615132254
77,11.62355407979404
79,11.659473028508224
80,11.69420481218574
81,11.69397120826013
82,11.705684032849181
83,11.72464399861497
84,11.727351125664715
85,11.72384257706079
86,11.75634996054137
87,11.7088211417913
88,11.716617047500376
89,11.70542010008452
90,11.752572088383452
91,11.582703361577646
92,11.845984741205214
93,11.808739384151552
94,11.536124279472752
95,10.169537324860794
96,11.806124789357975
97,11.836037420603889
98,11.95418233717645
99,12.045217037827767
100,12.094638165083868
101,12.086618839914655
102,12.07610062510376
103,12.035284324549892
104,11.505467725029641
105,11.980707879143255
106,11.945194775830444
107,11.885584972353154
108,11.670433360181011
109,11.892484557946158
110,11.884302797167503
111,11.878942634111281
112,11.392575387278974
113,11.880827152523427
114,11.787605881006327
115,11.797969059698966
116,11.823779482187794
117,11.830629824470885
118,11.868688993696269
119,11.8207336418056
120,11.752894667762412
121,11.760433770256997
122,11.74457672289705
123,11.644970753889448
124,11.625271524801766
125,11.717807281203845
126,11.737523957344191
127,11.704933291353603
128,11.676420917514134
129,11.676361473822153
131,11.731482514346279
132,11.687349249637043
133,11.659585301210097
134,11.708089206777478
135,11.694062987739139
136,11.656350256134237
137,11.703066370816314
138,11.696854063114568
139,11.64700170913619
140,11.569286894635978
141,11.534667387088632
142,11.589404908675448
143,11.353824217948372
144,11.560905777488795
145,11.630717389475995
146,11.709010206456089
147,11.765930685278576
148,11.791738321952945
149,11.103437275110155
150,10.594457364348266
151,11.608199280477017
152,11.667378956088378
153,11.646879268366758
154,11.656566829170007
155,11.755016375982748
156,11.273627124899319
157,11.75075268166959
