month,BASIS
1,19.801818181818238
2,13.578999999999997
3,9.313333333333395
4,-50.81826086956521
5,-55.172380952380955
6,-54.77350000000005
7,-28.9182352941176
8,-23.657142857142887
9,-20.484347826086932
10,-26.764500000000034
11,-21.433750000000003
12,-16.31608695652172
13,-8.313500000000044
14,-11.275714285714283
15,-19.964500000000022
16,-12.564285714285667
17,-6.519130434782591
18,-7.409999999999945
19,-7.698750000000047
20,-5.653636363636266
21,-7.4459090909091294
22,-3.8866666666666436
23,-5.313888888888919
24,-6.517826086956535
25,-6.787777777777718
26,-8.519499999999947
27,-14.344090909090896
28,-6.4666666666666535
29,1.8156521739130331
30,6.5119047619047405
31,2.8100000000000525
32,2.109545454545386
33,3.491428571428558
34,9.264090909090886
35,-7.473333333333358
36,-7.607272727272733
37,-2.3000000000000305
38,-6.480909090909129
39,-20.584500000000002
40,-10.707272727272725
41,-1.8678260869565233
42,3.6836842105263523
43,2.1466666666667353
44,2.6618181818182207
45,4.604999999999973
46,1.1245454545455067
47,8.04333333333337
48,3.5280952380952018
49,4.314761904761911
50,-13.772000000000002
51,-14.958947368421018
52,-5.146956521739175
53,-10.294545454545414
54,-2.1089999999999463
55,-3.9699999999999767
56,-0.858571428571503
57,3.7550000000000265
58,3.92999999999995
59,-9.267500000000018
60,-11.084545454545502
61,-18.741428571428493
62,-24.678888888888903
63,-26.623000000000093
64,-7.242608695652191
65,-6.391904761904785
66,-10.085909090909148
67,-6.119375000000076
68,-1.2652380952381246
69,4.266086956521655
70,0.4615000000000009
71,-8.713999999999942
72,-11.478695652173863
73,-7.757142857142862
74,-5.178333333333285
75,-14.420952380952345
76,-10.969090909090875
77,-12.063181818181812
78,2.660999999999967
79,2.674999999999926
80,3.6981818181817414
81,9.419130434782604
82,3.305263157894818
83,2.401249999999976
84,-5.24086956521737
85,1.197894736842069
86,-9.042105263157904
87,-17.477619047619058
88,-11.406666666666622
89,0.8713043478260458
90,2.2233333333333576
91,-1.0737499999999613
92,2.3500000000000125
93,5.239999999999967
