week,short_balance_ratio
1,0.006228116922493738
2,0.005583142276579591
3,0.006192749797661063
4,0.006100378896832337
5,0.00557443942975355
6,0.004930661193430035
7,0.004230718804734136
8,0.0039054146212031487
9,0.0046776571475929
10,0.004256594983347913
11,0.0039278617468931545
12,0.002910894356840406
13,0.0024868739299243174
14,0.0023462979075878293
15,0.0025037882835838242
16,0.002810842539555777
17,0.004026015953397798
18,0.002740854538711189
19,0.0031925281767547302
20,0.003923430311569051
21,0.004212145536092126
22,0.005283993966602039
23,0.005240212503359566
24,0.0050117590324260195
25,0.007024562658236154
26,0.004874280794212083
27,0.0034918227615733074
28,0.0029887965382202515
29,0.0032973037501152396
30,0.003233836547602311
31,0.0025391510255093623
32,0.003183474936286494
33,0.0030026563236075906
34,0.0035331536500352494
35,0.0041860369320417656
36,0.0037887701907122566
37,0.0037114504699977944
38,0.004044528245495256
39,0.005751556800821915
40,0.004126619985086898
41,0.004419367921789385
42,0.004714056249424203
43,0.0050439803222981396
44,0.004336182410425266
45,0.003791370344054795
46,0.0040064221245224105
47,0.005650523957119779
48,0.004403378197780061
49,0.0030510056585312723
50,0.0036925687003474513
51,0.0034930408971011514
52,0.003689787770511458
53,0.004462819341760913
54,0.00610443661118131
55,0.004396683942715577
56,0.006124364789282194
57,0.00590137013451437
58,0.0058132598556999895
59,0.004255846999670875
60,0.00452066257182563
61,0.0044636026372563645
62,0.004491298767350405
63,0.004411559434394379
64,0.004555440593988003
65,0.0047085524337725625
66,0.005837854272539952
67,0.0060533096769876645
68,0.008387440314357748
69,0.00794387435855834
70,0.005602397727306631
71,0.007386213249461096
72,0.008636829908105551
73,0.007968828723285871
74,0.008426400087960919
75,0.010007882962099496
76,0.010436558289695677
77,0.008400116948485924
78,0.00795070613817784
79,0.007632459114902722
80,0.007450865418748195
81,0.00682448712688203
82,0.006947781828106491
83,0.006926530105058881
84,0.0075134209270419795
85,0.00944851921598596
86,0.008136978674396915
87,0.00892287499783891
88,0.00946834738650754
89,0.008081959758833366
90,0.009455577663928124
91,0.010641080314063894
92,0.010854164622674646
93,0.012642997000812865
94,0.008702935070973462
95,0.008655408171125083
96,0.00869671610527168
97,0.008871622640920817
98,0.009642433267862797
99,0.00918748841406926
100,0.008694807269803805
101,0.008728104615307672
102,0.007852359112126834
103,0.008218560810006695
104,0.010041588899761502
105,0.010990336938928051
106,0.011417198599934206
107,0.012733968775498395
108,0.012297817006852299
109,0.012834615866030732
110,0.012822493346473023
111,0.012108575343820606
112,0.011481183680515414
113,0.01100762095027482
114,0.012110852036762747
115,0.010469474739829045
116,0.010544546569937339
117,0.009836273781502184
118,0.009832479967702899
119,0.008651827574677237
120,0.009242404583585958
121,0.009830062857199756
122,0.010453573364519839
123,0.008194858163991642
124,0.008001883753235397
125,0.007792847631964889
126,0.008644062663668326
127,0.009766025195450886
128,0.008618231343937214
129,0.010309378988693139
130,0.010642307020777602
131,0.009923370985034066
132,0.009418686468009706
133,0.00916789431187182
134,0.010029111400576001
135,0.011844801474750385
136,0.011706874677058322
137,0.012924802366531804
138,0.013419278222059511
139,0.012000216442581866
140,0.009809447105190224
141,0.010351913375143226
142,0.009873358230669309
143,0.009905996402668515
144,0.010125491580889334
145,0.010003430063349401
146,0.014555084123592875
147,0.015553547322882458
148,0.01157928375822723
149,0.011846819821187574
150,0.01092088619552356
151,0.011247310744616863
152,0.010278629581244418
153,0.01003293265708064
154,0.012031443476642362
155,0.011593085412776684
156,0.012765082041993397
157,0.014095965972001252
158,0.013930020697293127
159,0.015186032020313767
160,0.013813830357001563
161,0.014827030867645478
162,0.01751579758684422
163,0.019012349437586732
164,0.01726228460438231
165,0.01987158763728179
166,0.018835265136815264
167,0.01976729862401102
168,0.02143948141571137
169,0.019189771777928313
170,0.02323034388556378
171,0.023603873595426803
172,0.026304678141373335
173,0.029512453493098084
174,0.02784554141299999
175,0.029411734451032658
176,0.03053449531235674
177,0.02907500085675883
178,0.02818492599408493
179,0.027036102335955586
180,0.02898371114988721
181,0.02466761917990023
182,0.02456003346690991
183,0.025808465362720107
184,0.020497138382468614
185,0.02206031874805077
186,0.029360642135571696
187,0.025918230810250336
188,0.031080416106262897
189,0.031267666971408266
190,0.028262672738047924
191,0.025993087797205442
192,0.022326878319659994
193,0.023738716236390112
194,0.024295775535812504
195,0.023524299101940056
196,0.017270345039870967
197,0.01329983003370853
198,0.009984158298767958
199,0.008338629132106307
200,0.009240805234663337
201,0.011109928921028772
202,0.011511004118178255
203,0.009521875243585519
204,0.011265896925649157
205,0.01225864387723923
206,0.01267724219450938
207,0.01374174993967234
