camount,week
12.040801815377682,1
11.668560157391603,2
11.622334066063019,3
11.006309302311436,4
11.043678989011585,5
11.038096291491186,6
10.819155890763534,7
10.682447683926522,8
10.780584962881848,9
11.199250484910808,10
10.875202962865885,11
10.858642780279567,12
10.658088187806198,13
10.431985889882803,14
10.343923973254986,15
11.04012079647423,16
11.08184034937395,17
10.908351640874578,18
10.81902600151645,19
11.495435808693053,20
11.259122815060392,21
11.737866998944444,22
11.278788330053894,23
11.514030753913294,24
11.44152054397218,25
11.923217040257791,26
11.67043711896225,27
11.439490743055773,28
11.435387401388665,29
11.448108505072183,30
11.296155807169713,31
