month,turnoverRatio
1,4.360909090909091
2,4.115500000000001
3,4.269047619047619
4,3.5500000000000003
5,3.005238095238095
6,2.2014999999999993
7,2.9729411764705884
8,3.006666666666667
9,2.031304347826087
10,1.768
11,1.6456250000000001
12,1.8800000000000001
13,1.7540000000000002
14,1.2985714285714287
15,1.6105
16,1.7766666666666664
17,1.4739130434782608
18,1.201
19,1.3224999999999998
20,1.5913636363636363
21,1.102272727272727
22,0.9738888888888891
23,1.257777777777778
24,1.2195652173913043
25,1.527222222222222
26,1.1009999999999998
27,1.0386363636363638
28,1.4152380952380947
29,1.6030434782608693
30,1.5914285714285712
31,1.1635294117647057
32,1.1281818181818182
33,0.8928571428571427
34,1.1704545454545454
35,1.0873333333333333
36,1.1686363636363637
37,1.0094444444444444
38,0.8854545454545456
39,0.7470000000000001
40,0.8345454545454547
41,0.7491304347826088
42,0.7684210526315788
43,0.9422222222222223
44,1.1904545454545457
45,0.767
46,0.907727272727273
47,1.794
48,2.551428571428571
49,2.1323809523809523
50,1.2639999999999998
51,1.1426315789473684
52,0.8730434782608697
53,0.9854545454545455
54,1.2570000000000001
55,0.9394444444444444
56,0.8666666666666666
57,1.1227272727272728
58,1.4706249999999996
59,2.108
60,1.884545454545455
61,1.3852380952380952
62,1.2883333333333336
63,1.432
64,2.486086956521739
65,1.8723809523809525
66,1.372272727272727
67,1.0581249999999998
68,1.4090476190476189
69,1.3782608695652172
70,1.658
71,1.5613333333333332
72,1.547391304347826
73,1.3357142857142859
74,1.5583333333333333
75,1.4014285714285715
76,1.6227272727272732
77,1.821818181818182
78,2.3085
79,1.6043749999999999
80,1.5159090909090909
81,1.543478260869565
82,1.4257894736842105
83,1.285625
84,1.396521739130435
85,1.4710526315789476
86,1.301052631578947
87,1.5385714285714283
88,1.26
89,1.157391304347826
90,0.9338095238095236
91,0.9249999999999999
92,1.0945454545454545
93,0.9131818181818182
