week,spread
1,0.5416399999999999
2,0.44622
3,0.4965250000000001
4,0.6548799999999999
5,0.88798
6,1.1187800000000003
7,1.39226
8,1.6238
9,1.73516
10,1.83128
11,1.775725
12,1.7492
13,1.5076800000000001
14,1.18776
15,1.1319399999999997
16,1.20838
17,1.23204
18,1.3035800000000002
19,1.26406
20,1.20152
21,1.06385
22,1.06316
23,1.0552
24,1.0089400000000002
25,0.9703999999999998
26,0.8989333333333334
27,0.7924
28,0.70274
29,0.6629799999999999
30,0.7089199999999998
31,0.7037
32,0.63204
33,0.5689200000000001
34,0.4998799999999998
35,0.54348
36,0.59852
37,0.50686
38,0.521675
39,0.5523999999999999
40,0.5095999999999999
41,0.51106
42,0.56976
43,0.5703166666666667
44,0.5666999999999999
45,0.7007
46,0.6896000000000002
47,0.79782
48,0.7889200000000001
49,0.8076000000000001
50,0.8004999999999999
51,0.82795
52,0.8020399999999999
53,0.77352
54,0.7178800000000001
55,0.6715999999999999
56,0.66594
57,0.7099
58,0.71296
59,0.75196
60,0.737975
61,0.70842
62,0.6973999999999999
63,0.58992
64,0.56666
65,0.6082399999999999
66,0.6083
67,0.5879399999999999
68,0.60352
69,0.5946800000000001
70,0.62472
71,0.6730599999999999
72,0.6858799999999999
73,0.6955600000000001
74,0.7044249999999999
75,0.6420000000000001
76,0.6368600000000001
77,0.6159000000000001
78,0.6074
79,0.6333000000000001
80,0.6690200000000001
81,0.67828
82,0.74278
83,0.71298
84,0.63816
85,0.6465400000000001
86,0.67962
87,0.30241999999999986
88,0.29425999999999997
89,0.4494999999999999
90,0.5290999999999999
91,0.6254333333333333
92,0.7098
93,0.74265
94,0.7365000000000002
95,0.71392
96,0.659
97,0.6639599999999998
98,0.6868599999999999
99,0.6084400000000001
100,0.4515399999999999
101,0.42395
102,0.4097666666666666
103,0.41776
104,0.41268000000000005
105,0.4041600000000002
106,0.35604999999999987
107,0.44042000000000003
108,0.32226
109,0.27518333333333334
110,0.2666333333333332
111,0.20946000000000006
112,-0.05968000000000009
113,-0.09490000000000007
114,0.12623999999999996
115,0.25392000000000003
116,0.22474000000000008
117,0.21436000000000002
118,0.27418000000000003
119,0.3505200000000001
120,0.42084
121,0.33785999999999994
122,0.34019999999999995
123,0.32760000000000006
