camount,week
10.370347182090365,1
11.047015684478758,2
11.223600443616727,3
10.860472142721445,4
10.632603771048329,5
10.056136533949953,6
10.367768903230159,7
10.721869491132717,8
10.44603914310834,9
9.923705779733213,10
9.599414546337593,11
10.130164055620169,12
10.007333021089469,13
9.79842088259031,14
10.014736845261245,15
10.15571251060339,16
9.95888630797382,17
9.637056730821362,18
9.497692890130912,19
9.960348394328129,20
9.646643722392946,21
9.291289745427132,22
9.519688041200737,23
9.858258988333015,24
9.792369382239588,25
9.589597703545927,26
9.65307493179026,27
9.940167540779656,28
10.187112280084829,29
10.156956214344447,30
9.685110747215143,31
9.969595934547055,32
9.64252335751385,33
9.925839378842184,34
9.360785910522761,35
9.898770946818672,36
9.62955452726396,37
9.699726197011902,38
9.3069624181801,39
9.49582904067574,40
9.372355474574498,41
9.089839145383797,42
9.091593997457881,43
9.521275728999624,44
9.052558440460881,45
9.29061166890582,46
9.650975693335171,47
10.48995195474522,48
10.38334404501393,49
9.763901869626357,50
9.633589077045793,51
9.622739384907273,52
9.76637317726008,53
10.002832309749014,54
9.543714958687104,55
9.629874052003217,56
9.942380327308111,57
9.97180486254947,58
10.600272857090001,59
10.510705043598806,60
10.191719723655888,61
10.045548589098079,62
10.234595785721975,63
10.953455666377844,64
10.598895425803594,65
10.239360323799596,66
9.788233815505468,67
10.250436855377059,68
10.404494025844427,69
10.57298246041443,70
10.190225429375491,71
10.445930440979676,72
10.24418051221799,73
10.289209711567333,74
10.479441429763394,75
10.73414697287392,76
10.834629457779553,77
10.898238016762306,78
10.328339842177707,79
10.679271074392172,80
10.669566370782478,81
10.392450316183009,82
10.073072930770822,83
10.508102108687018,84
10.238999685548196,85
10.153754710398534,86
10.568201307380756,87
10.438586091075583,88
10.482732843538898,89
10.080702341961924,90
9.903984928824032,91
10.408074657144727,92
10.217405923530572,93
